cell.type,short,n,role,mean_potential_stationary,mean_potential_relative_type,mean_plasticity,peak_stage,transient_score,intermediate_call,in_triad
Cd163-/Cd11c+ IMs,Cd163-/Cd11c+ IMs,734,well,-0.4685595135435421,-0.4080446998185819,0.4102660146516711,D7,4.928388132353039,False,False
AM (PBS),AM(PBS),1194,well,-0.4685501116803742,-0.3854874653003388,0.4460922891949266,D0,1.902941917089756,False,False
Cd163+/Cd11c- IMs,Cd163+/Cd11c- IMs,480,well,-0.4685238576183716,-0.3224979255595497,0.4276691956363044,D3,3.823747525465787,False,False
Fn1+ macrophages,Fn1+,247,well,-0.4684958916444044,-0.2554011148481997,0.4303093501150896,D14,2.055750446685402,False,True
Resolution macrophages,Mfge8+ Resol.,1935,high_U_slope,-0.468366546717109,0.0549271473968415,0.4676906344978043,D7,1.956417782022824,False,True
M2 macrophages,Arg1+ M2,2361,high_U_slope,-0.4683480692182442,0.0992589216167917,0.4787740705716232,D10,61.89364467003216,True,True
AM (Bleo),AM(Bleo),3286,high_U_slope,-0.4683086392506549,0.1938604926115251,0.4870045527126435,D21,2.3180802420414417,True,False
