parent,src,dst,kind,method,n_points,ts_idx,relative_ts,U_start,U_end,U_ts,barrier_from_start,has_barrier,barrier_height,barrier_thresh,is_strict_saddle,det_H,grad_norm,path_action
alv_epithelium,AT2 cells,AT1 cells,AT2→AT1,eikonal_fmm,100,56,0.5656565656565656,-0.24412894915555353,0.054914493651318876,0.4656703739959667,0.7097993231515203,True,0.41075588034464783,0.16758659123842487,True,-1.516198121395369,0.08545315456330657,9.3308903035925
alv_epithelium,Activated AT2 cells,AT1 cells,Act.AT2→AT1,eikonal_fmm,100,9,0.09090909090909091,0.5395711596611394,0.054914493651318876,0.579091700563555,0.039520540902415524,False,0.039520540902415524,0.16758659123842487,False,-0.6314948839597159,0.8058455499211965,5.994287103858035
alv_epithelium,AT2 cells,Krt8 ADI,AT2→ADI,eikonal_fmm,100,91,0.9191919191919192,-0.24412894915555353,0.6812757905404221,0.5932741403311897,0.8374030894867432,False,-0.08800165020923234,0.16758659123842487,False,-4.2170351441531615,0.7724726683570845,9.19089564424048
alv_epithelium,Krt8 ADI,AT1 cells,ADI→AT1,eikonal_fmm,100,8,0.08080808080808081,0.6812757905404221,0.054914493651318876,0.6169569393398373,-0.06431885120058478,False,-0.06431885120058478,0.16758659123842487,False,-1.9604023020369068,1.0854921113648968,2.0772717500000537
macrophages,D0,D28,D0→D28 remodel,eikonal_fmm,100,26,0.26262626262626265,0.13735288607918655,0.22624298835083212,0.5305083206672792,0.3931554345880926,True,0.30426533231644703,0.13955120509560126,False,2.396098937353759,0.5675042391117268,10.863024122026
macrophages,AM (PBS),Resolution macrophages,AM(PBS)→Resol.,eikonal_fmm,100,14,0.1414141414141414,0.12626343947794413,0.29692613221030534,0.5872491407368762,0.460985701258932,True,0.29032300852657084,0.13955120509560126,False,3.659153815099752,0.29353308360962227,20.72135789591533
macrophages,AM (Bleo),M2 macrophages,AM(Bleo)→M2,eikonal_fmm,100,66,0.6666666666666666,0.33923315426863887,0.31680136189510927,0.4319142237272438,0.09268106945860494,False,0.09268106945860494,0.13955120509560126,False,0.030823824622628664,0.1900087168474449,10.707047020650409
macrophages,M2 macrophages,Resolution macrophages,M2→Resol.,eikonal_fmm,100,54,0.5454545454545454,0.31680136189510927,0.29692613221030534,0.39771950669685097,0.0809181448017417,False,0.0809181448017417,0.13955120509560126,False,1.196269609253008,0.24025338883976416,3.335388621316968
macrophages,Fn1+ macrophages,Resolution macrophages,Fn1+→Resol.,eikonal_fmm,100,91,0.9191919191919192,-0.09259064704380292,0.29692613221030534,0.2489191273842032,0.3415097744280061,False,-0.04800700482610215,0.13955120509560126,True,-0.26290534085422756,0.2331700507989907,7.863236533085317
