gene,score,logfoldchange,pval,pval_adj,comparison,direction
EHF,-5.769568,-0.3384556,7.947493358931849e-09,6.192851967998844e-08,deep_valley_vs_other_EOC,down_in_group_1
PLIN2,5.76698,0.48613015,8.070443761174261e-09,6.272365617492949e-08,deep_valley_vs_other_EOC,up_in_group_1
EZR,5.7592735,0.20478328,8.447665565075429e-09,6.548577957422812e-08,deep_valley_vs_other_EOC,up_in_group_1
GADD45A,5.703103,0.28803575,1.1764585321813345e-08,9.096328857072173e-08,deep_valley_vs_other_EOC,up_in_group_1
PEG10,5.700685,0.6837665,1.1932708465016578e-08,9.202602929318697e-08,deep_valley_vs_other_EOC,up_in_group_1
FBLN5,5.643302,1.1227468,1.6681942446368028e-08,1.28322634202831e-07,deep_valley_vs_other_EOC,up_in_group_1
SPHK1,-5.6354256,-0.35788757,1.7462652824602486e-08,1.339845485263618e-07,deep_valley_vs_other_EOC,down_in_group_1
KLF2,-5.623743,-0.9719211,1.868635893416556e-08,1.4300784898596097e-07,deep_valley_vs_other_EOC,down_in_group_1
DSP,-5.612117,-0.22602062,1.9986629393405203e-08,1.5256969002599394e-07,deep_valley_vs_other_EOC,down_in_group_1
HSPD1,-5.5972247,-0.28383988,2.1781024262173243e-08,1.6584536240233438e-07,deep_valley_vs_other_EOC,down_in_group_1
NUCB2,-5.5360355,-0.41332722,3.0939467453891674e-08,2.3498329711816467e-07,deep_valley_vs_other_EOC,down_in_group_1
KLK7,5.5274243,0.3913486,3.2496615674956175e-08,2.461864823860316e-07,deep_valley_vs_other_EOC,up_in_group_1
SDC1,-5.52326,-0.5359107,3.327664804022754e-08,2.514608164248933e-07,deep_valley_vs_other_EOC,down_in_group_1
CTD-3128G10.7,5.4733014,0.9950658,4.417280078002744e-08,3.329608098997043e-07,deep_valley_vs_other_EOC,up_in_group_1
SAT1,-5.4695015,-0.2378476,4.513034527891588e-08,3.393259043527509e-07,deep_valley_vs_other_EOC,down_in_group_1
HLA-DPA1,-5.4201517,-0.81254685,5.9548440633278286e-08,4.466133047495871e-07,deep_valley_vs_other_EOC,down_in_group_1
PLA2G10,-5.4171557,-2.914846,6.055456928134345e-08,4.530267028529436e-07,deep_valley_vs_other_EOC,down_in_group_1
CALML5,-5.3945255,-2.2729108,6.870487260254176e-08,5.127229298697145e-07,deep_valley_vs_other_EOC,down_in_group_1
IFITM2,5.392346,0.30067137,6.95436945703421e-08,5.17694996801554e-07,deep_valley_vs_other_EOC,up_in_group_1
CTSV,-5.3895574,-1.0709383,7.063147725404068e-08,5.244911677280248e-07,deep_valley_vs_other_EOC,down_in_group_1
SOX17,-5.3854055,-0.26088047,7.228149086373854e-08,5.354184508425076e-07,deep_valley_vs_other_EOC,down_in_group_1
FOSL1,5.381229,0.31130454,7.39791380007794e-08,5.466438768530497e-07,deep_valley_vs_other_EOC,up_in_group_1
PPP1R14B,5.361092,0.17554584,8.272041011953323e-08,6.097327527238322e-07,deep_valley_vs_other_EOC,up_in_group_1
STMN1,5.3432727,0.45248324,9.128321255877837e-08,6.712000923439584e-07,deep_valley_vs_other_EOC,up_in_group_1
PEPD,5.341891,0.4543511,9.198195463156886e-08,6.746842638012386e-07,deep_valley_vs_other_EOC,up_in_group_1
RP11-632C17--A.1,5.3364706,1.6235374,9.477326213450128e-08,6.934628936670826e-07,deep_valley_vs_other_EOC,up_in_group_1
CD47,-5.314167,-0.24733832,1.0714641963041558e-07,7.814310682846684e-07,deep_valley_vs_other_EOC,down_in_group_1
HMGA1,5.313878,0.13122308,1.0731653337776112e-07,7.814310682846684e-07,deep_valley_vs_other_EOC,up_in_group_1
QPCT,-5.3102665,-1.6528087,1.0946513472062416e-07,7.951462570505386e-07,deep_valley_vs_other_EOC,down_in_group_1
HLA-DPB1,-5.2905316,-0.7552549,1.219613685476849e-07,8.837780329542383e-07,deep_valley_vs_other_EOC,down_in_group_1
MARCKS,5.2674303,0.41969234,1.383467516363328e-07,1.000096999780719e-06,deep_valley_vs_other_EOC,up_in_group_1
IMPA2,5.235831,0.71739423,1.642445001927736e-07,1.184455530236348e-06,deep_valley_vs_other_EOC,up_in_group_1
NR4A2,5.2267485,0.6296311,1.725170226808253e-07,1.2411296595742826e-06,deep_valley_vs_other_EOC,up_in_group_1
TYMS,5.1937733,1.334961,2.060740411606703e-07,1.4790002954115092e-06,deep_valley_vs_other_EOC,up_in_group_1
SERPINB1,-5.129638,-0.2981397,2.902992935348965e-07,2.078515228173484e-06,deep_valley_vs_other_EOC,down_in_group_1
KATNBL1,-5.0592413,-0.30769092,4.209278389017411e-07,3.0066274207267213e-06,deep_valley_vs_other_EOC,down_in_group_1
UCHL1,-5.0387654,-0.6045358,4.685443813331083e-07,3.338796066506709e-06,deep_valley_vs_other_EOC,down_in_group_1
NTN4,5.0352793,0.9491872,4.7715219555107e-07,3.392077219557369e-06,deep_valley_vs_other_EOC,up_in_group_1
MALAT1,5.0249724,0.46846887,5.035049464092628e-07,3.5675519698812286e-06,deep_valley_vs_other_EOC,up_in_group_1
