gene,score,logfoldchange,pval,pval_adj,comparison,direction
ICAM1,15.730556,1.1872977,9.338793897367338e-56,5.836746185854585e-54,deep_valley_vs_other_EOC,up_in_group_1
HSPA8,-15.667388,-0.8419127,2.5275513075227275e-55,1.5474803923608535e-53,deep_valley_vs_other_EOC,down_in_group_1
TIMP1,-15.662319,-1.0025687,2.737302650948e-55,1.6423815905687996e-53,deep_valley_vs_other_EOC,down_in_group_1
ZFP36,15.599139,1.0413475,7.37824293851474e-55,4.34014290500867e-53,deep_valley_vs_other_EOC,up_in_group_1
ITM2C,-15.562653,-1.322142,1.3057266569441258e-54,7.53303840544688e-53,deep_valley_vs_other_EOC,down_in_group_1
PPDPF,-15.469582,-0.63382494,5.566769537460816e-54,3.1510016249778204e-52,deep_valley_vs_other_EOC,down_in_group_1
RHOV,15.41191,1.1965655,1.361286185967422e-53,7.562701033152346e-52,deep_valley_vs_other_EOC,up_in_group_1
MX1,15.401955,1.1654505,1.5879626968107912e-53,8.661614709877042e-52,deep_valley_vs_other_EOC,up_in_group_1
RAP2B,15.324064,0.91519076,5.280961787996913e-53,2.8290866721412024e-51,deep_valley_vs_other_EOC,up_in_group_1
IFITM3,15.248228,0.84135044,1.691622961219121e-52,8.903278743258534e-51,deep_valley_vs_other_EOC,up_in_group_1
S100A10,-15.175897,-0.6683529,5.107528398371335e-52,2.641825033640346e-50,deep_valley_vs_other_EOC,down_in_group_1
RARRES1,15.105072,1.8486505,1.4994229602216024e-51,7.624184543499674e-50,deep_valley_vs_other_EOC,up_in_group_1
ATP1B1,15.0932455,0.8011521,1.793977994502621e-51,8.841342908125112e-50,deep_valley_vs_other_EOC,up_in_group_1
SLC25A6,15.093107,0.9228116,1.7977397246521058e-51,8.841342908125112e-50,deep_valley_vs_other_EOC,up_in_group_1
LEMD1,-15.040987,-2.3070362,3.956048187519127e-51,1.9142168649286097e-49,deep_valley_vs_other_EOC,down_in_group_1
NFIB,15.001876,1.2593166,7.13732761296872e-51,3.398727434747009e-49,deep_valley_vs_other_EOC,up_in_group_1
DCDC2,-14.766666,-1.6026257,2.40308724060038e-49,1.126447144031428e-47,deep_valley_vs_other_EOC,down_in_group_1
PLAUR,14.721525,0.8192256,4.689640254315607e-49,2.1644493481456646e-47,deep_valley_vs_other_EOC,up_in_group_1
PRDX2,-14.695855,-0.81260073,6.852830951083134e-49,3.114923159583243e-47,deep_valley_vs_other_EOC,down_in_group_1
PDZK1IP1,14.512187,1.2111242,1.0143456635409427e-47,4.541846254660938e-46,deep_valley_vs_other_EOC,up_in_group_1
CXCL8,14.505712,1.1484575,1.1147622387429188e-47,4.918068700336406e-46,deep_valley_vs_other_EOC,up_in_group_1
MRPL33,-14.455388,-0.7311555,2.3181974395985147e-47,1.007911930260224e-45,deep_valley_vs_other_EOC,down_in_group_1
H2AFJ,-14.451475,-0.8219576,2.453743914362461e-47,1.0516045347267691e-45,deep_valley_vs_other_EOC,down_in_group_1
LYPD1,-14.443152,-1.6309144,2.768817114994567e-47,1.1699227246455917e-45,deep_valley_vs_other_EOC,down_in_group_1
MTATP6P1,14.365733,0.6593809,8.490299210147702e-47,3.537624670894876e-45,deep_valley_vs_other_EOC,up_in_group_1
CP,14.304318,0.9519375,2.0564314650350366e-46,8.451088212472753e-45,deep_valley_vs_other_EOC,up_in_group_1
RGS10,14.296806,1.0157423,2.290840456005902e-46,9.287191037861765e-45,deep_valley_vs_other_EOC,up_in_group_1
PRSS23,-14.212334,-1.4057142,7.682228545255501e-46,3.0728914181022e-44,deep_valley_vs_other_EOC,down_in_group_1
HSP90AB1,-14.168097,-0.6202871,1.4436028067048622e-45,5.698432131729719e-44,deep_valley_vs_other_EOC,down_in_group_1
IGFBP2,-14.134361,-1.0519296,2.332393869081541e-45,9.087248840577432e-44,deep_valley_vs_other_EOC,down_in_group_1
ITPKC,14.072927,0.93844354,5.5714380543232734e-45,2.1428607901243363e-43,deep_valley_vs_other_EOC,up_in_group_1
RWDD1,-14.027215,-0.75273377,1.0624296645884788e-44,4.034543030082831e-43,deep_valley_vs_other_EOC,down_in_group_1
UCA1,-13.94457,-1.3332573,3.394891228148675e-44,1.2730842105557529e-42,deep_valley_vs_other_EOC,down_in_group_1
KLK11,-13.913712,-1.0991684,5.22939457856271e-44,1.936812806875078e-42,deep_valley_vs_other_EOC,down_in_group_1
TSC22D1,13.895333,0.7306014,6.760809536841138e-44,2.4734669037223683e-42,deep_valley_vs_other_EOC,up_in_group_1
TNFAIP3,13.857767,0.8619756,1.1417132725916197e-43,4.105108609961765e-42,deep_valley_vs_other_EOC,up_in_group_1
GSN,-13.857284,-1.0084879,1.1494304107892942e-43,4.105108609961765e-42,deep_valley_vs_other_EOC,down_in_group_1
BST2,13.8407955,0.80218124,1.4459714933764156e-43,5.1034288001520546e-42,deep_valley_vs_other_EOC,up_in_group_1
UBB,13.835464,1.0409294,1.5573025608593565e-43,5.432450793695429e-42,deep_valley_vs_other_EOC,up_in_group_1
LINC00176,-13.826293,-1.7970109,1.7690514330278945e-43,6.1001773552686e-42,deep_valley_vs_other_EOC,down_in_group_1
LYPD6B,-13.807242,-1.5676017,2.3048598728390627e-43,7.857476839224078e-42,deep_valley_vs_other_EOC,down_in_group_1
MALL,-13.783934,-1.4932405,3.184351975150996e-43,1.0733770702756166e-41,deep_valley_vs_other_EOC,down_in_group_1
PDLIM1,-13.725822,-0.74164474,7.111736413737056e-43,2.370578804579019e-41,deep_valley_vs_other_EOC,down_in_group_1
KRT18,-13.692527,-0.5318199,1.1252634660528546e-42,3.7096597781962234e-41,deep_valley_vs_other_EOC,down_in_group_1
CXCL1,13.648862,1.2310256,2.0505590441692136e-42,6.686605578812652e-41,deep_valley_vs_other_EOC,up_in_group_1
CTGF,-13.592723,-1.1077858,4.423149299275369e-42,1.4268223546049576e-40,deep_valley_vs_other_EOC,down_in_group_1
KLK6,-13.523318,-0.9211097,1.1391945100144864e-41,3.635727159620701e-40,deep_valley_vs_other_EOC,down_in_group_1
ISG20,-13.517344,-1.1206856,1.2355523696715238e-41,3.901744325278497e-40,deep_valley_vs_other_EOC,down_in_group_1
MT-ND1,13.439109,0.44956523,3.5670500278864544e-41,1.1147031337145169e-39,deep_valley_vs_other_EOC,up_in_group_1
ARL4C,-13.398716,-0.8635164,6.151802226353022e-41,1.9026192452638213e-39,deep_valley_vs_other_EOC,down_in_group_1
MAP3K8,13.389596,0.7933576,6.955778537873765e-41,2.1293199605736015e-39,deep_valley_vs_other_EOC,up_in_group_1
IFI16,13.276665,1.0696963,3.1616643771495275e-40,9.580801142877355e-39,deep_valley_vs_other_EOC,up_in_group_1
NFKBIA,13.273027,0.56082803,3.318941357837373e-40,9.95682407351212e-39,deep_valley_vs_other_EOC,up_in_group_1
STXBP6,13.25681,1.4470054,4.120514723081671e-40,1.2239152642816844e-38,deep_valley_vs_other_EOC,up_in_group_1
C15orf48,13.250172,1.3290386,4.5017360659739086e-40,1.324040019404091e-38,deep_valley_vs_other_EOC,up_in_group_1
TMEM141,-13.221474,-0.87604654,6.595880142436594e-40,1.921130138573765e-38,deep_valley_vs_other_EOC,down_in_group_1
CXCL2,13.22072,1.0028143,6.6623118963797585e-40,1.921820739340315e-38,deep_valley_vs_other_EOC,up_in_group_1
RBP1,-13.1483,-0.8346542,1.740423845866447e-39,4.97263955961842e-38,deep_valley_vs_other_EOC,down_in_group_1
NPC2,13.133107,0.5410553,2.1274565698973627e-39,6.021103499709518e-38,deep_valley_vs_other_EOC,up_in_group_1
LGALS3,-13.080642,-0.5219026,4.2483705405792165e-39,1.1911319272652011e-37,deep_valley_vs_other_EOC,down_in_group_1
CHI3L1,13.0603485,1.2295753,5.5473505564987523e-39,1.5409307101385426e-37,deep_valley_vs_other_EOC,up_in_group_1
IGFBP7,-13.01434,-1.7387372,1.0141460124551708e-38,2.7912275572160665e-37,deep_valley_vs_other_EOC,down_in_group_1
RHEB,12.969946,0.53623194,1.811573599081354e-38,4.940655270221874e-37,deep_valley_vs_other_EOC,up_in_group_1
ZC3HAV1,12.860821,1.0928752,7.477840947046829e-38,2.0210380937964403e-36,deep_valley_vs_other_EOC,up_in_group_1
PARP14,12.810586,0.8142356,1.4305086740804288e-37,3.831719662715434e-36,deep_valley_vs_other_EOC,up_in_group_1
TNF,12.806829,0.9123358,1.501447412914336e-37,3.9861435741088567e-36,deep_valley_vs_other_EOC,up_in_group_1
MAL2,-12.77126,-0.60137486,2.372804571938285e-37,6.244222557732329e-36,deep_valley_vs_other_EOC,down_in_group_1
BCAT1,-12.654441,-2.4331713,1.0572563009991512e-36,2.75805991564996e-35,deep_valley_vs_other_EOC,down_in_group_1
SELM,12.628959,0.84389955,1.4619959123483226e-36,3.7810239112456615e-35,deep_valley_vs_other_EOC,up_in_group_1
MT2A,12.4893265,0.83039457,8.537290117330825e-36,2.189048748033545e-34,deep_valley_vs_other_EOC,up_in_group_1
PLSCR1,12.480313,0.74738973,9.560925879246124e-36,2.4307438676049472e-34,deep_valley_vs_other_EOC,up_in_group_1
IFIT3,12.371985,1.1344547,3.705451754136459e-35,9.341475010428046e-34,deep_valley_vs_other_EOC,up_in_group_1
GPX1,-12.34624,-0.5175718,5.104158343919904e-35,1.2760395859799759e-33,deep_valley_vs_other_EOC,down_in_group_1
MT-ATP6,12.278073,0.44838315,1.1879425465388087e-34,2.945312098856551e-33,deep_valley_vs_other_EOC,up_in_group_1
RARRES3,12.2665415,1.2400814,1.3698111006404418e-34,3.3683879523945286e-33,deep_valley_vs_other_EOC,up_in_group_1
GBP1,12.249288,1.2478462,1.6947885417565372e-34,4.1336305896500905e-33,deep_valley_vs_other_EOC,up_in_group_1
TUBA4A,-12.224811,-1.0417819,2.291158492709438e-34,5.5431253855873496e-33,deep_valley_vs_other_EOC,down_in_group_1
HSPA5,-12.159168,-0.6873598,5.127829348290341e-34,1.2306790435896818e-32,deep_valley_vs_other_EOC,down_in_group_1
WTAP,12.149854,0.6707673,5.746862253820576e-34,1.3683005366239467e-32,deep_valley_vs_other_EOC,up_in_group_1
UCP2,-12.054659,-0.88344455,1.8328948513780602e-33,4.3296728772710077e-32,deep_valley_vs_other_EOC,down_in_group_1
DCBLD2,-12.028744,-1.1807554,2.5095007389948978e-33,5.881642357019293e-32,deep_valley_vs_other_EOC,down_in_group_1
MARCKSL1,12.015742,0.5758932,2.9372070900985625e-33,6.830714163019914e-32,deep_valley_vs_other_EOC,up_in_group_1
CCL20,12.01149,1.2614202,3.0922309441846056e-33,7.135917563502938e-32,deep_valley_vs_other_EOC,up_in_group_1
KLF10,-11.905172,-0.7311034,1.1123364266562211e-32,2.547335328220354e-31,deep_valley_vs_other_EOC,down_in_group_1
CST6,-11.890952,-1.531828,1.3189463572344895e-32,2.9976053573511127e-31,deep_valley_vs_other_EOC,down_in_group_1
DNAJB1,-11.867838,-0.6535309,1.7390378471518015e-32,3.922641760492785e-31,deep_valley_vs_other_EOC,down_in_group_1
EFNA1,11.809645,0.71267045,3.48028153592591e-32,7.791675080431143e-31,deep_valley_vs_other_EOC,up_in_group_1
LCN2,11.796486,0.78124946,4.0695182901859516e-32,9.043373978191004e-31,deep_valley_vs_other_EOC,up_in_group_1
NFKBIZ,11.794734,0.72161645,4.155121351863583e-32,9.165708864404962e-31,deep_valley_vs_other_EOC,up_in_group_1
NEAT1,11.711561,0.5735299,1.1121257298493882e-31,2.435311817188441e-30,deep_valley_vs_other_EOC,up_in_group_1
SLC25A38,-11.685602,-1.3823186,1.5100565158775144e-31,3.282731556255466e-30,deep_valley_vs_other_EOC,down_in_group_1
ISG15,11.653217,0.6968316,2.2095584238619068e-31,4.7688311306372094e-30,deep_valley_vs_other_EOC,up_in_group_1
PRRX2,-11.579001,-1.4907944,5.265573684873245e-31,1.1283372181871237e-29,deep_valley_vs_other_EOC,down_in_group_1
EIF3D,-11.514584,-0.7205771,1.1139580309947571e-30,2.370123470201611e-29,deep_valley_vs_other_EOC,down_in_group_1
PRKCDBP,-11.498165,-1.0053786,1.34748826321842e-30,2.846806189898071e-29,deep_valley_vs_other_EOC,down_in_group_1
FGF18,-11.4278755,-1.379885,3.034428467999508e-30,6.365933848950014e-29,deep_valley_vs_other_EOC,down_in_group_1
LINC01503,11.421789,0.94343907,3.2546423186441545e-30,6.780504830508652e-29,deep_valley_vs_other_EOC,up_in_group_1
CST3,-11.411193,-0.7247204,3.6765167756510456e-30,7.606586432381472e-29,deep_valley_vs_other_EOC,down_in_group_1
GMPR,-11.344904,-1.4276248,7.861268443396607e-30,1.615329132204782e-28,deep_valley_vs_other_EOC,down_in_group_1
SDF2L1,-11.314548,-0.6978563,1.1117396220701148e-29,2.2688563715716623e-28,deep_valley_vs_other_EOC,down_in_group_1
CD9,-11.248309,-0.47257113,2.3607510014154326e-29,4.785306083950201e-28,deep_valley_vs_other_EOC,down_in_group_1
S100A1,-11.240238,-0.8601693,2.58684663809592e-29,5.208416049857557e-28,deep_valley_vs_other_EOC,down_in_group_1
GAS6,11.237198,0.73910135,2.6774679197747217e-29,5.354935839549443e-28,deep_valley_vs_other_EOC,up_in_group_1
PPP1R15A,11.231469,0.49826965,2.856869955082008e-29,5.675900573010612e-28,deep_valley_vs_other_EOC,up_in_group_1
HES4,-11.209272,-0.7332465,3.671985021952405e-29,7.247338859116588e-28,deep_valley_vs_other_EOC,down_in_group_1
C4orf48,-11.194141,-0.63319236,4.3559978391609746e-29,8.541172233648969e-28,deep_valley_vs_other_EOC,down_in_group_1
KRT23,-11.171536,-1.1761161,5.62001441689855e-29,1.0948080032919254e-27,deep_valley_vs_other_EOC,down_in_group_1
CTSD,-11.1361685,-0.5989251,8.364083823231885e-29,1.6188549335287524e-27,deep_valley_vs_other_EOC,down_in_group_1
NCOA7,11.111716,0.8513114,1.1002374425273911e-28,2.1158412356295982e-27,deep_valley_vs_other_EOC,up_in_group_1
MT-CYB,11.04056,0.43295455,2.4351173210236954e-28,4.6530904223382716e-27,deep_valley_vs_other_EOC,up_in_group_1
NEDD9,-11.03544,-0.8679035,2.577847492777142e-28,4.8946471381844464e-27,deep_valley_vs_other_EOC,down_in_group_1
ZFAS1,-10.959309,-0.56496,5.9955339434605405e-28,1.1312328195208568e-26,deep_valley_vs_other_EOC,down_in_group_1
LY6E,-10.954001,-0.63905364,6.357549548641722e-28,1.1920405403703228e-26,deep_valley_vs_other_EOC,down_in_group_1
CAPS,-10.938827,-0.7033126,7.51662187259135e-28,1.4006127712903134e-26,deep_valley_vs_other_EOC,down_in_group_1
GLIPR2,10.883975,1.3727553,1.3743571632727762e-27,2.5451058579125486e-26,deep_valley_vs_other_EOC,up_in_group_1
GEM,-10.73881,-1.7609905,6.690145684984999e-27,1.2313151567457057e-25,deep_valley_vs_other_EOC,down_in_group_1
ACTG1,-10.674951,-0.39594892,1.3332786200750194e-26,2.4389243050152787e-25,deep_valley_vs_other_EOC,down_in_group_1
TLN1,10.644313,0.8578146,1.8534752506688023e-26,3.369955001216004e-25,deep_valley_vs_other_EOC,up_in_group_1
LTF,10.61049,1.9174917,2.663501213273898e-26,4.813556409531141e-25,deep_valley_vs_other_EOC,up_in_group_1
AQP5,-10.515477,-1.306095,7.330865999306447e-26,1.3169220358035532e-24,deep_valley_vs_other_EOC,down_in_group_1
EVA1C,10.455494,1.0483774,1.3827615491991558e-25,2.4692170521413496e-24,deep_valley_vs_other_EOC,up_in_group_1
SPOCK2,-10.3824215,-0.84880406,2.9811651738940417e-25,5.292009184427293e-24,deep_valley_vs_other_EOC,down_in_group_1
MUC16,-10.360407,-0.5715476,3.753630514055125e-25,6.624053848332574e-24,deep_valley_vs_other_EOC,down_in_group_1
KRT8,-10.359735,-0.4341566,3.780097659347922e-25,6.631750279557759e-24,deep_valley_vs_other_EOC,down_in_group_1
SOX4,-10.3483095,-0.51613474,4.259403253451576e-25,7.42919172113647e-24,deep_valley_vs_other_EOC,down_in_group_1
PNRC1,10.3084755,0.55816567,6.4516542671965855e-25,1.1187839769705063e-23,deep_valley_vs_other_EOC,up_in_group_1
ANXA1,-10.27219,-0.56073546,9.404470242457364e-25,1.6214603866305798e-23,deep_valley_vs_other_EOC,down_in_group_1
RHOB,-10.2621975,-0.8280664,1.0430570829740504e-24,1.7880978565269442e-23,deep_valley_vs_other_EOC,down_in_group_1
KLK5,10.249918,1.1168203,1.1844380953428711e-24,2.018928571607167e-23,deep_valley_vs_other_EOC,up_in_group_1
GCLM,10.139775,0.8277017,3.6794552188659165e-24,6.236364777738841e-23,deep_valley_vs_other_EOC,up_in_group_1
NFKBID,10.130342,0.86704457,4.052331746075878e-24,6.829772605745863e-23,deep_valley_vs_other_EOC,up_in_group_1
IL1B,10.123024,1.4151284,4.3671114427099716e-24,7.319181188899393e-23,deep_valley_vs_other_EOC,up_in_group_1
HSPA6,-10.088491,-2.1454747,6.211699813462624e-24,1.0352833022437708e-22,deep_valley_vs_other_EOC,down_in_group_1
CITED2,-10.081073,-0.6242124,6.699034503383584e-24,1.1103372105055665e-22,deep_valley_vs_other_EOC,down_in_group_1
S100A2,9.982104,0.56698287,1.8255384725613672e-23,3.0091293503758795e-22,deep_valley_vs_other_EOC,up_in_group_1
WBSCR27,-9.950215,-2.1566217,2.5163733360116504e-23,4.125202190183033e-22,deep_valley_vs_other_EOC,down_in_group_1
ID3,-9.873814,-1.0059873,5.406876329018547e-23,8.815559232095458e-22,deep_valley_vs_other_EOC,down_in_group_1
SCGB1D2,-9.8692665,-1.2558296,5.657676046328878e-23,9.169383571866896e-22,deep_valley_vs_other_EOC,down_in_group_1
LINC01578,-9.868783,-0.5135075,5.685017814557476e-23,9.169383571866896e-22,deep_valley_vs_other_EOC,down_in_group_1
DNAJC15,9.854405,1.0079527,6.560356860726762e-23,1.052463667496272e-21,deep_valley_vs_other_EOC,up_in_group_1
PLEC,-9.799711,-0.48134524,1.129080199250538e-22,1.8017237222083048e-21,deep_valley_vs_other_EOC,down_in_group_1
HSPH1,-9.756819,-0.67480016,1.724813266380851e-22,2.7377988355251604e-21,deep_valley_vs_other_EOC,down_in_group_1
LRRC75A-AS1,9.754683,0.37405097,1.7615022472639787e-22,2.7813193377852295e-21,deep_valley_vs_other_EOC,up_in_group_1
IER3,9.753665,0.55947405,1.7792541420487928e-22,2.794640013689204e-21,deep_valley_vs_other_EOC,up_in_group_1
S100A6,-9.751838,-0.4888947,1.8115876432223093e-22,2.830605692534859e-21,deep_valley_vs_other_EOC,down_in_group_1
UBE2S,9.749696,0.59756833,1.8502174090435648e-22,2.8759856099122767e-21,deep_valley_vs_other_EOC,up_in_group_1
HSP90AA1,-9.732831,-0.38926843,2.18426664605507e-22,3.3777319268892837e-21,deep_valley_vs_other_EOC,down_in_group_1
IER2,-9.717663,-0.49046493,2.5353360104653107e-22,3.900516939177401e-21,deep_valley_vs_other_EOC,down_in_group_1
RHOF,-9.71272,-0.60088676,2.661388754354322e-22,4.073554215848453e-21,deep_valley_vs_other_EOC,down_in_group_1
TUBB4B,-9.672208,-0.48199123,3.957476104470973e-22,6.026613357062396e-21,deep_valley_vs_other_EOC,down_in_group_1
ELF3,9.622305,0.43866232,6.437198745864629e-22,9.753331433128224e-21,deep_valley_vs_other_EOC,up_in_group_1
MT-CO2,9.612494,0.41399258,7.081230243506818e-22,1.0675221472623346e-20,deep_valley_vs_other_EOC,up_in_group_1
LAMA3,9.593451,0.71727574,8.51873473021952e-22,1.2778102095329281e-20,deep_valley_vs_other_EOC,up_in_group_1
B4GALT1,9.557291,0.7220408,1.20879205388851e-21,1.8041672446097163e-20,deep_valley_vs_other_EOC,up_in_group_1
CDH6,-9.536702,-1.3043474,1.4744666881287192e-21,2.1898020120723555e-20,deep_valley_vs_other_EOC,down_in_group_1
KRT5,9.532362,0.724906,1.5374471087229677e-21,2.2720893232359132e-20,deep_valley_vs_other_EOC,up_in_group_1
TUBB,-9.4603195,-0.48452607,3.0700435164345956e-21,4.500579827767428e-20,deep_valley_vs_other_EOC,down_in_group_1
ANKRD36C,9.460137,1.0988016,3.075396215641076e-21,4.500579827767428e-20,deep_valley_vs_other_EOC,up_in_group_1
IFIT2,9.431345,1.4129928,4.0486290365701136e-21,5.896061703742885e-20,deep_valley_vs_other_EOC,up_in_group_1
C8orf4,-9.411428,-1.5841511,4.89440320005796e-21,7.093337971098493e-20,deep_valley_vs_other_EOC,down_in_group_1
HSPA1B,-9.386305,-0.9763205,6.21424255443571e-21,8.962849838128428e-20,deep_valley_vs_other_EOC,down_in_group_1
TUBA1A,-9.352764,-0.7449649,8.53865719096046e-21,1.2256445728651377e-19,deep_valley_vs_other_EOC,down_in_group_1
VTCN1,9.341816,1.0219634,9.469547331504331e-21,1.3527924759291898e-19,deep_valley_vs_other_EOC,up_in_group_1
APOA1,-9.295689,-1.0473354,1.4625593439288245e-20,2.0794682615101772e-19,deep_valley_vs_other_EOC,down_in_group_1
ID4,-9.278039,-0.5140461,1.726256587604051e-20,2.442815925854789e-19,deep_valley_vs_other_EOC,down_in_group_1
SLC3A2,-9.275389,-0.44787335,1.7697233441938566e-20,2.482529043347265e-19,deep_valley_vs_other_EOC,down_in_group_1
B2M,9.27532,0.4316425,1.7708707175877158e-20,2.482529043347265e-19,deep_valley_vs_other_EOC,up_in_group_1
IL1RN,9.238564,0.90729403,2.498284665018401e-20,3.4859786023512573e-19,deep_valley_vs_other_EOC,up_in_group_1
AKAP12,-9.233871,-0.8551163,2.610224703720384e-20,3.625312088500534e-19,deep_valley_vs_other_EOC,down_in_group_1
TIMP3,-9.225594,-0.78697103,2.8199521193738743e-20,3.8985513171067394e-19,deep_valley_vs_other_EOC,down_in_group_1
ZFP36L2,9.199847,0.49590942,3.584574916093206e-20,4.932901260678724e-19,deep_valley_vs_other_EOC,up_in_group_1
PMEPA1,-9.157093,-0.6596361,5.331404025463031e-20,7.303293185565798e-19,deep_valley_vs_other_EOC,down_in_group_1
CDV3,9.1370125,0.4096729,6.420110627648481e-20,8.754696310429747e-19,deep_valley_vs_other_EOC,up_in_group_1
COTL1,9.127542,0.6166929,7.007262776451637e-20,9.512121415997697e-19,deep_valley_vs_other_EOC,up_in_group_1
LGALS3BP,-9.078078,-0.45787862,1.1050831205223464e-19,1.4933555682734412e-18,deep_valley_vs_other_EOC,down_in_group_1
SMIM5,-9.037724,-2.573955,1.599684869195751e-19,2.15204242492702e-18,deep_valley_vs_other_EOC,down_in_group_1
TCEA3,8.98448,0.8098038,2.599613396809374e-19,3.481625085012554e-18,deep_valley_vs_other_EOC,up_in_group_1
PDE4C,8.959017,0.8959093,3.27586600212274e-19,4.367821336163654e-18,deep_valley_vs_other_EOC,up_in_group_1
MT-CO3,8.949739,0.3547728,3.5632161542357053e-19,4.729932948100493e-18,deep_valley_vs_other_EOC,up_in_group_1
MT-ND4,8.936568,0.33342952,4.0144225438331214e-19,5.3054042429512614e-18,deep_valley_vs_other_EOC,up_in_group_1
TFCP2L1,8.824597,1.4259181,1.0985393451693938e-18,1.445446506801834e-17,deep_valley_vs_other_EOC,up_in_group_1
UGT2B7,-8.809354,-1.291128,1.2586926377816852e-18,1.6489423202380158e-17,deep_valley_vs_other_EOC,down_in_group_1
GTPBP4,8.803437,0.41781017,1.3268844434933577e-18,1.7307188393391618e-17,deep_valley_vs_other_EOC,up_in_group_1
UPP1,-8.802162,-0.689854,1.342050786001576e-18,1.7429230987033452e-17,deep_valley_vs_other_EOC,down_in_group_1
CNN3,8.794431,0.47637534,1.4377560011809193e-18,1.859167242906361e-17,deep_valley_vs_other_EOC,up_in_group_1
ARC,-8.756349,-1.0943375,2.0167695758206493e-18,2.59669902466178e-17,deep_valley_vs_other_EOC,down_in_group_1
MEST,8.747022,0.6766193,2.1905783674730013e-18,2.8084338044525655e-17,deep_valley_vs_other_EOC,up_in_group_1
IFI6,8.708513,0.56601644,3.078870876661177e-18,3.9304734595674603e-17,deep_valley_vs_other_EOC,up_in_group_1
CLDN10,-8.647148,-1.225493,5.2802489410686535e-18,6.712180857290661e-17,deep_valley_vs_other_EOC,down_in_group_1
SLC48A1,-8.637212,-1.0065796,5.760170037378567e-18,7.291354477694389e-17,deep_valley_vs_other_EOC,down_in_group_1
CCNA1,-8.626929,-0.8332927,6.302097596572556e-18,7.943820499881372e-17,deep_valley_vs_other_EOC,down_in_group_1
ATF3,-8.598597,-0.60235983,8.069714459858934e-18,1.0129348694383599e-16,deep_valley_vs_other_EOC,down_in_group_1
PI3,8.576782,0.71304876,9.756401469992893e-18,1.2195501837491116e-16,deep_valley_vs_other_EOC,up_in_group_1
ID2,-8.520435,-0.79738754,1.589540803578786e-17,1.9786814982308536e-16,deep_valley_vs_other_EOC,down_in_group_1
JUNB,-8.492931,-0.48163006,2.0148916656155908e-17,2.497799585473873e-16,deep_valley_vs_other_EOC,down_in_group_1
FOLR1,8.490262,0.45193058,2.061717083050754e-17,2.545329732161424e-16,deep_valley_vs_other_EOC,up_in_group_1
HSPB1,-8.431459,-0.37189803,3.4138001805493855e-17,4.1972953039541634e-16,deep_valley_vs_other_EOC,down_in_group_1
CLDN9,-8.429776,-0.88792664,3.463264857352262e-17,4.2407324783905253e-16,deep_valley_vs_other_EOC,down_in_group_1
TNNT1,8.428452,0.5002873,3.502705932585588e-17,4.27159260071413e-16,deep_valley_vs_other_EOC,up_in_group_1
CYR61,-8.403516,-0.5651654,4.333070904959801e-17,5.262839155821621e-16,deep_valley_vs_other_EOC,down_in_group_1
TRIM29,-8.360107,-0.724284,6.266092440800452e-17,7.579950533226353e-16,deep_valley_vs_other_EOC,down_in_group_1
PPP1R1B,8.358399,1.4388825,6.35748580344562e-17,7.6596214499344815e-16,deep_valley_vs_other_EOC,up_in_group_1
SNCG,-8.340273,-0.64814997,7.411946362936296e-17,8.894335635523555e-16,deep_valley_vs_other_EOC,down_in_group_1
PTGS1,-8.325154,-0.92665553,8.421894926775776e-17,1.006600987264037e-15,deep_valley_vs_other_EOC,down_in_group_1
DPYSL3,-8.320192,-0.8836027,8.782066546353773e-17,1.0454841126611637e-15,deep_valley_vs_other_EOC,down_in_group_1
BHLHE41,-8.305527,-0.60151744,9.93779454167936e-17,1.1783946096852997e-15,deep_valley_vs_other_EOC,down_in_group_1
CKS1B,8.241342,0.59858745,1.702909281441513e-16,2.011310174930921e-15,deep_valley_vs_other_EOC,up_in_group_1
SCX,-8.239708,-0.99097,1.7263132237975932e-16,2.0309567338795213e-15,deep_valley_vs_other_EOC,down_in_group_1
BAG3,-8.225532,-0.6512287,1.9432645510629441e-16,2.2772631457768876e-15,deep_valley_vs_other_EOC,down_in_group_1
ADAMTS1,-8.191992,-0.8515042,2.569385681248928e-16,2.9992828963995268e-15,deep_valley_vs_other_EOC,down_in_group_1
NNMT,8.189806,0.93776155,2.6164795647074423e-16,3.042418098497026e-15,deep_valley_vs_other_EOC,up_in_group_1
UBC,-8.184322,-0.34483492,2.738397316248183e-16,3.171888783299054e-15,deep_valley_vs_other_EOC,down_in_group_1
SCGB2A1,-8.11059,-0.7891577,5.037443356370914e-16,5.8124346419664405e-15,deep_valley_vs_other_EOC,down_in_group_1
CSF1,8.099191,1.0519547,5.532615637222492e-16,6.359328318646543e-15,deep_valley_vs_other_EOC,up_in_group_1
C2orf88,-8.085931,-1.6760406,6.169098589399288e-16,7.0638533466404055e-15,deep_valley_vs_other_EOC,down_in_group_1
GPRC5A,-8.067836,-0.5351303,7.155520063300388e-16,8.162190186274207e-15,deep_valley_vs_other_EOC,down_in_group_1
TRIB1,-8.067189,-0.50676644,7.19352404827137e-16,8.174459145762921e-15,deep_valley_vs_other_EOC,down_in_group_1
NPDC1,-8.0398855,-0.9264479,8.992246341798077e-16,1.017990151901669e-14,deep_valley_vs_other_EOC,down_in_group_1
