neuron_subtype,metric,n_cells,mean,median,std,q25,q75,rank_deepest
SNI-induced,U0,1475,-0.23488313754736367,-0.2349908649921417,0.0006699578881342119,-0.23532178997993464,-0.23455786705017084,1
Myelinated,U0,1263,-0.23284908431867524,-0.2327746599912643,0.0005604855529337463,-0.23303496837615967,-0.23251119256019587,2
Peptidergic,U0,2026,-0.23267495334295507,-0.23263484239578244,0.000447915744076709,-0.23296447098255152,-0.2323480062186718,3
Non_peptidergic,U0,1702,-0.2322902002499891,-0.232222780585289,0.0004081772349340083,-0.2324726283550262,-0.23202172666788098,4
