cell_type,module,is_primary_readout,end_WT,end_KO,end_ratio_KO_over_WT,delta_traj_WT,delta_traj_KO,reduces_end_lt_70pct,blocks_traj_change,bootstrap_KO_end_lt_WT_p,pass_module
Neuron,SNIIC1_noAtf3,True,0.532871092632413,0.7771112149953843,1.4583474797936804,-0.06346177324652669,-0.014572342038154495,False,True,1.0,True
Neuron,SNIIC2_noAtf3,True,2.138040053546429,1.5270347028970719,0.714221747326078,0.012628139257431226,0.05767341911792756,False,False,0.001996007984031936,False
Neuron,SNIIC2_full,False,2.983662952855229,0.7635173514485359,0.2558993302906029,-0.04250182911753653,0.02883670955896378,True,False,0.001996007984031936,True
Neuron,SNIIC3_noAtf3,True,1.3992807692289353,1.386243976354599,0.9906832187213435,-0.02755117058753953,-0.017648419439792562,False,False,0.015968063872255488,False
Neuron,Atf3_alone,False,3.82928585216403,0.0,0.0,-0.09763179749250428,0.0,True,True,0.001996007984031936,True
Neuron,FB_remodel,False,0.13446456504719598,0.1645231584778854,1.2235428599359177,-0.005347969287208154,-7.016743932450331e-05,False,True,1.0,True
Fibroblast,FB_remodel,True,1.6410469214405332,1.062454344545092,0.6474247205634165,0.046346839410917884,0.01981408451284694,True,True,0.001996007984031936,True
Fibroblast,FB_ECM,True,2.911292182445526,1.8815283463001253,0.6462863321123665,0.12301138967275627,0.02227736139297498,True,True,0.001996007984031936,True
Fibroblast,FB_contractile,True,0.06817146733403207,0.027819533944129945,0.4080817830694115,0.0005323429405689334,0.019098243713378905,True,False,0.001996007984031936,True
Fibroblast,SNIIC2_full,False,1.0311766365170478,0.006393991112709045,0.006200674924429726,0.01671970486640917,0.0,True,True,0.001996007984031936,True
Fibroblast,SNIIC2_noAtf3,False,0.11237106561660766,0.01278798222541809,0.11380137898708434,0.02552541255950927,0.0,True,True,0.001996007984031936,True
Fibroblast,Atf3_alone,False,1.9499822074174882,0.0,0.0,0.007913997173309317,0.0,True,True,0.001996007984031936,True
