neuron_subtype,metric,n_cells,mean,median,std,q25,q75
Myelinated,U0,1263,-0.23284908431867524,-0.2327746599912643,0.0005604855529337463,-0.23303496837615967,-0.23251119256019587
Myelinated,U_rel,1263,0.23565206453081364,0.3025080168887162,0.5034885329545156,0.06867096945602519,0.5391828600770734
Non_peptidergic,U0,1702,-0.2322902002499891,-0.232222780585289,0.0004081772349340083,-0.2324726283550262,-0.23202172666788098
Non_peptidergic,U_rel,1702,0.7377019717256568,0.7982655810719634,0.366668785888666,0.5738253856226573,0.9788738793423617
Peptidergic,U0,2026,-0.23267495334295507,-0.23263484239578244,0.000447915744076709,-0.23296447098255152,-0.2323480062186718
Peptidergic,U_rel,2026,0.39207527481406995,0.428107250735012,0.402366197829672,0.13199932662610137,0.6857744203093281
SNI-induced,U0,1475,-0.23488313754736367,-0.2349908649921417,0.0006699578881342119,-0.23532178997993464,-0.23455786705017084
SNI-induced,U_rel,1475,-1.5915537763747778,-1.6883261781723542,0.60182838339434,-1.9855986694074108,-1.299360758039597
