celltype,mean_abs_r,mean_r,n_genes,n_genes_max_abs_r,frac_genes_max_abs_r
Fibroblast,0.06810988146600665,-0.06791131054430612,60,0,0.0
Immune,0.08768819358131269,-0.08249323050569488,60,0,0.0
Neuron,0.5094213539777019,0.5015335677866186,60,55,0.9166666666666666
RBC,0.04946946458000942,-0.0476840514687746,60,0,0.0
Satellite,0.13739054649946814,-0.12582663101509334,60,1,0.016666666666666666
Schwann,0.13775036090038154,-0.13674078614836793,60,3,0.05
VEC,0.09928163690758378,-0.06552605884403641,60,1,0.016666666666666666
VECC,0.04814048136559321,-0.0350105012361386,60,0,0.0
VSMC,0.04629917098712139,-0.04603906893137715,60,0,0.0
