gene_idx,U,pval,mean_late,mean_control,log1p_diff,n_late,n_control,gene,pval_adj,significant
211,69473162.5,0.0,0.8647987115894589,0.07334434133622987,0.791454370253229,15298,5509,Atf3,0.0,True
387,28394927.5,0.0,0.6852535673807385,1.2770403789283071,-0.5917868115475686,15298,5509,Snhg11,0.0,True
522,59715107.5,0.0,0.37910953876050135,0.016767475963813117,0.36234206279668824,15298,5509,Car3,0.0,True
599,79503825.0,0.0,1.5041449678685166,0.0018598035596790667,1.5022851643088375,15298,5509,Sprr1a,0.0,True
605,60189471.0,0.0,1.9226548978132718,1.263817908560521,0.6588369892527508,15298,5509,S100a11,0.0,True
697,25360416.0,0.0,1.9496180833914556,2.62130387097613,-0.6716857875846745,15298,5509,Ttll7,0.0,True
769,56326715.5,0.0,0.65599989398348,0.3046093165300854,0.35139057745339464,15298,5509,Plin2,0.0,True
821,24244506.0,0.0,1.2072624038146178,1.918450469539555,-0.7111880657249372,15298,5509,Trnp1,0.0,True
1037,58676438.0,0.0,0.8217265914679354,0.3671323831561715,0.45459420831176384,15298,5509,Vgf,0.0,True
1114,83610374.5,0.0,2.0594533939072517,0.004030169830118439,2.055423224077133,15298,5509,Npy,0.0,True
1450,65018926.5,0.0,0.9955328017731234,0.27190895732177794,0.7236238444513454,15298,5509,Kif22,0.0,True
1500,26859372.0,0.0,1.1612305983753464,1.7715836949623396,-0.6103530965869932,15298,5509,Akap12,0.0,True
1611,81465116.0,0.0,1.5101780360200037,0.049551807555381994,1.4606262284646216,15298,5509,Nts,0.0,True
1801,25137247.5,0.0,3.3964609913610437,4.029778504473789,-0.6333175131127455,15298,5509,Sncg,0.0,True
1852,56606886.5,0.0,0.5992854936930988,0.19389730798500612,0.40538818570809265,15298,5509,Stmn4,0.0,True
1942,19204953.5,0.0,2.4498461270215226,3.3794852869218612,-0.9296391599003386,15298,5509,Fxyd2,0.0,True
2121,25971203.5,0.0,1.8573773094783488,2.57664929374912,-0.7192719842707711,15298,5509,Skp1a,0.0,True
2289,65991789.0,0.0,1.0273550530517876,0.3041245277461579,0.7232305253056297,15298,5509,Aspscr1,0.0,True
2341,65578865.5,0.0,1.2875945542042844,0.6261657135404428,0.6614288406638416,15298,5509,Serpinb1a,0.0,True
2347,25424755.5,0.0,1.6954812756981867,2.3679301138148117,-0.6724488381166249,15298,5509,Nrn1,0.0,True
2377,53863055.5,0.0,0.4117795822085998,0.12928823600641817,0.28249134620218164,15298,5509,Ctla2a,0.0,True
2392,56928275.0,0.0,0.5175628782432136,0.16311426424740158,0.35444861399581196,15298,5509,Rasgrf2,0.0,True
2412,26906816.0,0.0,1.1882534429175615,1.8604462597871334,-0.6721928168695719,15298,5509,Rgs7bp,0.0,True
2421,55888586.5,0.0,0.33043978526096435,0.045372844585387664,0.2850669406755767,15298,5509,Fst,0.0,True
2512,23387412.0,0.0,1.0694082307024013,1.812858114758586,-0.7434498840561847,15298,5509,Meg3,0.0,True
2605,26831315.5,0.0,1.8910464065707013,2.5152927917845718,-0.6242463852138704,15298,5509,Kif21a,0.0,True
