ligand,receptor,n_patients,mean_delta,median_delta,frac_patients_same_sign_as_global,wilcoxon_p_vs_0
CXCL12,CXCR4,11,-0.016129907493474132,-0.018179407157105774,0.9090909090909091,0.0048828125
IL11,IL11RA,11,0.0035715963069915743,0.002018947580640945,0.09090909090909091,0.037109375
COL1A1,ITGB1,11,-0.09715986389059382,-0.23306356185406085,0.36363636363636365,0.3203125
IL6,IL6ST,11,-0.010857230181861565,0.037098479003889365,0.2727272727272727,0.4130859375
HGF,MET,11,-0.0005919337380482746,-0.0014922255217827097,0.6363636363636364,0.556640625
LIF,IL6ST,11,0.004868614674943751,0.016696812586674672,0.2727272727272727,0.5771484375
FN1,ITGB1,11,-0.02447000479937724,-0.04329955998000978,0.36363636363636365,0.7646484375
FN1,ITGAV,11,-0.007504075197474213,-0.013278426251710745,0.36363636363636365,0.7646484375
