ligand,receptor,obs_delta_low_minus_high,null_mean,null_std,emp_p_twosided,significant_005,direction
FN1,ITGB1,0.3324938409877183,0.0037485654602863517,0.02646103977734364,0.004975124378109453,True,lowU_stronger
COL1A1,ITGB1,0.31687169637333,0.005123037191460867,0.03709467712594781,0.004975124378109453,True,lowU_stronger
FN1,ITGAV,0.10196396796507257,0.0011495509431759185,0.008114654407325513,0.004975124378109453,True,lowU_stronger
CXCL12,CXCR4,-0.009745778225927211,-0.00018945218885227057,0.001789502678505064,0.004975124378109453,True,highU_stronger
IL11,IL11RA,-0.008508765099811006,-3.5660018538525955e-06,0.0010275443000998781,0.004975124378109453,True,highU_stronger
HGF,MET,-0.013275222944164179,1.7156798942652185e-05,0.0014765038060188273,0.004975124378109453,True,highU_stronger
IL6,IL6ST,-0.022770891600321613,-0.0005360563873815985,0.008955420572465539,0.009950248756218905,True,highU_stronger
LIF,IL6ST,-0.006135431743143155,-6.761485759127078e-05,0.005553372395039109,0.24875621890547264,False,highU_stronger
