t,seed_by,seed_low,SNIIC1,SNIIC2,SNIIC3,SNIIC1_noAtf3,SNIIC2_noAtf3,SNIIC3_noAtf3,Atf3_alone,Nav_triad,Scn9a,Scn10a,Scn11a,Csf1,Clcf1,condition
0.0,SNIIC2,True,0.543588760221998,0.29999171577394007,1.4329903215914965,0.6818847898021341,0.33298673048615457,2.015987131856382,0.2669967010617256,2.133824883153041,2.84558824300766,1.9857777082920074,1.5701086981594563,0.1350724183768034,0.010493723154067993,WT
0.25,SNIIC2,True,0.5375416376441717,0.3034865847229958,1.419172577932477,0.6789207677170634,0.35218979194760325,2.0013671781495215,0.2547833774983883,2.1432030747830866,2.8466499829292298,1.9899014502763748,1.5930577911436559,0.1417912743240595,0.010493723154067993,WT
0.5,SNIIC2,True,0.5228371742119392,0.2958476988971233,1.4044957919667167,0.6644140205159783,0.3520119161903858,1.9869019471481442,0.23968348160386085,2.148907794505358,2.851753112077713,2.00734163582325,1.5876286356151104,0.14549904070794584,0.010493723154067993,WT
0.75,SNIIC2,True,0.5186394781122605,0.29325030714273453,1.4049475770443678,0.6617807612940669,0.35414370253682137,1.991242909692228,0.2323569117486477,2.149143160432577,2.851228461265564,2.011427362859249,1.5847736571729183,0.15499321900308133,0.013358877301216125,WT
1.0,SNIIC2,True,0.5301401195675135,0.29098080441355706,1.4087084351728363,0.676977395825088,0.34549604177474974,1.9948298692330717,0.23646556705236435,2.1381673543155193,2.8342126500606537,2.015799103677273,1.5644903092086315,0.15446691460907458,0.013358877301216125,WT
1.25,SNIIC2,True,0.5250018013517062,0.29518327727913857,1.4148541559775671,0.661808241084218,0.33897763267159464,1.9965867730230094,0.2513889218866825,2.122469962388277,2.836833176612854,1.9994520083069802,1.531124702244997,0.15756459638476372,0.013358877301216125,WT
1.5,SNIIC2,True,0.5082412600020567,0.2895390123128891,1.4097893309593201,0.6367220965027809,0.32779843762516975,1.989044202938676,0.25127958700060843,2.1242403922975064,2.834848527908325,2.009895849823952,1.527976799160242,0.15272573456168176,0.013358877301216125,WT
1.75,SNIIC2,True,0.5289964180936415,0.2866562008112669,1.4251292821019887,0.6575013612583279,0.3013258698582649,2.001700657270849,0.2719865317642689,2.1218432219326497,2.834229537844658,2.0052688178420066,1.5260313101112843,0.14700268097221852,0.010493723154067993,WT
2.0,SNIIC2,True,0.5355507557094097,0.28227269522845744,1.4355802516639233,0.6616338837146759,0.2811608907580376,2.011678127646446,0.28338449969887736,2.1181577436625956,2.8267332237958906,2.0106309813261034,1.5171090258657933,0.14905915290117264,0.010493723154067993,WT
0.0,SNIIC2,True,2.8173559859395025,2.395313858985901,3.599447320898374,1.8495442955195904,0.037648351192474366,3.022681297957897,4.752979366779328,1.0178298535943031,2.4249240273237227,0.5370996952056885,0.09146583825349808,1.4452118271589278,0.37231728434562683,Atf3_OE
0.25,SNIIC2,True,2.807405649125576,2.3932772543281318,3.582465838392576,1.833125862032175,0.03058928534388542,2.995716145932674,4.755965223312378,1.0136776337027549,2.412467367649078,0.5370996952056885,0.09146583825349808,1.4471224647760392,0.37231728434562683,Atf3_OE
0.5,SNIIC2,True,2.800613512297472,2.3933379759639504,3.584578769803047,1.8228769351541996,0.03058928534388542,2.9988248214125632,4.7560866665840145,1.017459752659003,2.416935402750969,0.5370996952056885,0.09834416002035141,1.450134307742119,0.37231728434562683,Atf3_OE
0.75,SNIIC2,True,2.807846643726031,2.396483909264207,3.5842630592981974,1.8282276770472528,0.025883241444826125,2.9928523004055023,4.767084577083588,1.0228337454795837,2.424965099692345,0.5370996952056885,0.10643644154071807,1.4494606202840805,0.36797481775283813,Atf3_OE
1.0,SNIIC2,True,2.8206941061218576,2.398009659424424,3.6021312429507573,1.8459731204807759,0.025883241444826125,3.018128825724125,4.770136077404022,1.024078635474046,2.430808374285698,0.5370996952056885,0.1043278369307518,1.4480968618392944,0.36797481775283813,Atf3_OE
1.25,SNIIC2,True,2.8193265270193417,2.3972550229728222,3.6072404013077413,1.8434998773038387,0.02353021949529648,3.0253706887364387,4.770979826450348,1.0229502980907759,2.427423362135887,0.5370996952056885,0.1043278369307518,1.4379491674900056,0.36797481775283813,Atf3_OE
1.5,SNIIC2,True,2.8218599013487493,2.397210605666041,3.614654463330904,1.8461678451299668,0.02117719754576683,3.035359688103199,4.773244013786316,1.0226479717095693,2.425224692225456,0.5370996952056885,0.10561952769756316,1.4384243929386138,0.36797481775283813,Atf3_OE
1.75,SNIIC2,True,2.8218599013487493,2.397210605666041,3.614654463330904,1.8461678451299668,0.02117719754576683,3.035359688103199,4.773244013786316,1.0226479717095693,2.425224692225456,0.5370996952056885,0.10561952769756316,1.4384243929386138,0.36797481775283813,Atf3_OE
2.0,SNIIC2,True,2.822441522081693,2.396380200982094,3.6305332742134726,1.8466941699385644,0.018824175596237183,3.058831798136234,4.77393622636795,1.0217753702402115,2.4226068878173828,0.5370996952056885,0.10561952769756316,1.4174921250343322,0.36797481775283813,Atf3_OE
